date,tether,usd_coin,binance_usd,dai,true_usd,paxos_standard
2018-06-20,2609299022,0,0,0,62304832,0
2018-06-21,2603656512,0,0,0,62428885,0
2018-06-22,2607650405,0,0,0,67830805,0
2018-06-23,2617735158,0,0,0,73198521,0
2018-06-24,2620800944,0,0,0,73131293,0
2018-06-25,2613814134,0,0,0,72801032,0
2018-06-26,2708229883,0,0,0,80082956,0
2018-06-27,2711224215,0,0,0,79790789,0
2018-06-28,2710815882,0,0,0,80795388,0
2018-06-29,2705747936,0,0,0,83187388,0
2018-06-30,2710522078,0,0,0,83328128,0
2018-07-01,2709184202,0,0,0,83024388,0
2018-07-02,2703960039,0,0,0,88390223,0
2018-07-03,2707143219,0,0,0,87848837,0
2018-07-04,2708578918,0,0,0,87131920,0
2018-07-05,2719758743,0,0,0,87746624,0
2018-07-06,2716035715,0,0,0,85354187,0
2018-07-07,2630551517,0,0,0,85119286,0
2018-07-08,2639086853,0,0,0,84857496,0
2018-07-09,2617656194,0,0,0,79886430,0
2018-07-10,2621958056,0,0,0,79901242,0
2018-07-11,2630093889,0,0,0,79243540,0
2018-07-12,2843510051,0,0,0,79192386,0
2018-07-13,2735628176,0,0,0,79490404,0
2018-07-14,2875371132,0,0,0,78991453,0
2018-07-15,3072821184,0,0,0,79031702,0
2018-07-16,3072501090,0,0,0,78904705,0
2018-07-17,3202433010,0,0,0,80187290,0
2018-07-18,3085635270,0,0,0,77548069,0
2018-07-19,2894104982,0,0,0,77122910,0
2018-07-20,3055979238,0,0,0,76813215,0
2018-07-21,2904119617,0,0,0,76206979,0
2018-07-22,3242165235,0,0,0,76294828,0
2018-07-23,3340987522,0,0,0,71870991,0
2018-07-24,3449495153,0,0,0,70144082,0
2018-07-25,2498721072,0,0,0,69188475,0
2018-07-26,2497893235,0,0,0,67378405,0
2018-07-27,2503957997,0,0,0,62366849,0
2018-07-28,2504641537,0,0,0,62531832,0
2018-07-29,2504617064,0,0,0,62217443,0
2018-07-30,2499614098,0,0,0,61878741,0
2018-07-31,2500004009,0,0,0,60172193,0
2018-08-01,2453551347,0,0,0,58032274,0
2018-08-02,2397246906,0,0,0,60695470,0
2018-08-03,2412056294,0,0,0,59146650,0
2018-08-04,2434874462,0,0,0,59451116,0
2018-08-05,2427717170,0,0,0,59546310,0
2018-08-06,2317029506,0,0,0,58943274,0
2018-08-07,2629576497,0,0,0,58987378,0
2018-08-08,2391622986,0,0,0,58432235,0
2018-08-09,2677247669,0,0,0,59127411,0
2018-08-10,2433038152,0,0,0,59348011,0
2018-08-11,2396026687,0,0,0,60834435,0
2018-08-12,2407658622,0,0,0,60804161,0
2018-08-13,2375326436,0,0,0,60900423,0
2018-08-14,2411321575,0,0,0,58937556,0
2018-08-15,2447323372,0,0,0,60122541,0
2018-08-16,2434993162,0,0,0,64600252,0
2018-08-17,2405947943,0,0,0,64568747,0
2018-08-18,2433497752,0,0,0,65331314,0
2018-08-19,2439015130,0,0,0,65150035,0
2018-08-20,2438871839,0,0,0,65008152,0
2018-08-21,2725078677,0,0,0,65272899,0
2018-08-22,2728553309,0,0,0,66198780,0
2018-08-23,2716639197,0,0,0,68127770,0
2018-08-24,2731483651,0,0,0,68337332,0
2018-08-25,2727971119,0,0,0,72304978,0
2018-08-26,2722535740,0,0,0,72962018,0
2018-08-27,2723771032,0,0,0,72763061,0
2018-08-28,2732665666,0,0,0,72823074,0
2018-08-29,2715010129,0,0,0,72922437,0
2018-08-30,2728039077,0,0,0,72932956,0
2018-08-31,2721520395,0,0,0,72537309,0
2018-09-01,2816280698,0,0,0,73184445,0
2018-09-02,2815472563,0,0,0,73199705,0
2018-09-03,2813189896,0,0,0,73093019,0
2018-09-04,2809398139,0,0,0,73170475,0
2018-09-05,2810162814,0,0,0,74064606,0
2018-09-06,2794774719,0,0,0,77342129,0
2018-09-07,2811537527,0,0,0,77519150,0
2018-09-08,2812652631,0,0,0,77483179,0
2018-09-09,2811569544,0,0,0,78930617,0
2018-09-10,2821504022,0,0,0,78670202,0
2018-09-11,2811552369,0,0,0,82276934,0
2018-09-12,2812137479,0,0,0,82243192,0
2018-09-13,2811471887,0,0,0,82348639,0
2018-09-14,2787130230,0,0,0,82455010,0
2018-09-15,2786121047,0,0,0,85534921,0
2018-09-16,2789163924,0,0,0,85567480,0
2018-09-17,2791102224,0,0,0,86293201,0
2018-09-18,2784048695,0,0,0,91553598,0
2018-09-19,2785192872,0,0,0,93694586,0
2018-09-20,2788943336,0,0,0,93538141,0
2018-09-21,2791634391,0,0,0,93575519,0
2018-09-22,2787935807,0,0,0,94032078,0
2018-09-23,2798948786,0,0,0,93652566,0
2018-09-24,2785206697,0,0,0,93612162,0
2018-09-25,2788848807,0,0,0,93446546,0
2018-09-26,2784475867,0,0,0,93540740,0
2018-09-27,2788802968,0,0,0,93883155,0
2018-09-28,2793938157,0,0,0,103831930,0
2018-09-29,2786516142,0,0,0,104135823,0
2018-09-30,2786984880,0,0,0,103682162,0
2018-10-01,2787146948,0,0,0,103433901,0
2018-10-02,2784012202,0,0,0,107623185,0
2018-10-03,2780675054,0,0,0,119886107,0
2018-10-04,2783984271,0,0,0,117962453,0
2018-10-05,2787393921,0,0,0,118679896,0
2018-10-06,2783163158,0,0,0,118898447,0
2018-10-07,2788311599,0,0,0,118889546,0
2018-10-08,2786255879,0,0,0,117190282,0
2018-10-09,2786297378,0,0,0,119257097,13379194
2018-10-10,2781073506,0,0,0,119846791,13362626
2018-10-11,2773726365,0,0,0,127036938,13477195
2018-10-12,2783485294,0,0,0,135370006,21445470
2018-10-13,2782596918,0,0,0,139336549,24121602
2018-10-14,2780610027,0,0,0,141365939,24367785
2018-10-15,2780058251,0,0,0,159694884,37020940
2018-10-16,2741743089,24736312,0,0,165211522,51726094
2018-10-17,2738404240,24590235,0,0,164405503,65224762
2018-10-18,2755618646,0,0,0,162198366,42371595
2018-10-19,2754104126,0,0,0,167263880,42344576
2018-10-20,2771835186,0,0,0,167750390,42282377
2018-10-21,2769255516,0,0,0,171038835,42381278
2018-10-22,2767264867,0,0,0,169627361,42279022
2018-10-23,2770816158,0,0,0,177991784,79735712
2018-10-24,2087254167,129207943,0,0,177424376,79492058
2018-10-25,2039936497,128775494,0,0,177370725,97391773
2018-10-26,2040926053,129502939,0,0,177196070,97403868
2018-10-27,2041779778,128177231,0,0,176843133,96808054
2018-10-28,2045854212,129589927,0,0,179860061,97069741
2018-10-29,2050417737,128032733,0,0,178821183,107338195
2018-10-30,2045435957,127904252,0,0,176768290,113074921
2018-10-31,2054102038,127652782,0,0,174546691,110118007
2018-11-01,2054728481,128091488,0,0,173918798,114665040
2018-11-02,2055110924,133609203,0,0,173931018,134615043
2018-11-03,2054366246,133279985,0,0,176558539,136246299
