date,tether,usd_coin,binance_usd,dai,true_usd,paxos_standard
2020-11-27,18979461069,2900492932,636161755,1018550644,298189414,396560511
2020-11-28,19015542987,2914579537,629411259,1018400752,293708068,390271825
2020-11-29,19028717336,2970456072,674391590,1018766804,308217158,405200095
2020-11-30,19127804081,2969654630,681574902,1032744526,306827367,406118627
2020-12-01,19100000432,2974088273,691770356,1053153622,304821056,404383032
2020-12-02,19258843705,2986024737,663257620,1060561105,303415078,408516117
2020-12-03,19392984903,2973689219,671010927,1075054852,332732226,400896112
2020-12-04,19453232188,2976771003,676511235,1082410957,330432887,406046512
2020-12-05,19616345385,3024346244,691374143,1069432514,332162678,410080597
2020-12-06,19673710812,3054098687,697855633,1072362248,327114255,413875965
2020-12-07,19692101877,3082126093,702632087,1080081107,321442056,413681372
2020-12-08,19695202345,3072555831,679931602,1075282317,315565236,389302697
2020-12-09,19756413071,3090738841,669447401,1070751653,302297150,387994792
2020-12-10,19731593806,3088976237,651927030,1085108811,300097387,392751968
2020-12-11,19775400468,3094211683,652595403,1084066686,303029553,388830716
2020-12-12,19774158324,3148910616,666694640,1067245734,294041093,389516260
2020-12-13,19799083141,3221104235,684202002,1096918108,284661307,395681923
2020-12-14,19824289197,3271544009,690843885,1096278224,285675207,395807964
2020-12-15,19832906051,3281248613,647227334,1097264907,275632234,368162485
2020-12-16,19756381668,3287513029,660509444,1099420117,275112024,377404450
2020-12-17,19757024760,3315561177,721144897,1116445402,276126046,394870098
2020-12-18,19949736008,3294373041,765286191,1126334598,278024474,392919831
2020-12-19,20022296287,3298168361,789648371,1125881485,275994675,395538344
2020-12-20,20082054875,3383803900,827790967,1136671407,278342153,402955084
2020-12-21,20363396934,3367310808,827791136,1126025514,273797643,403602357
2020-12-22,20352568043,3354936550,799647269,1127354335,275877015,400937029
2020-12-23,20473741651,3382198128,765247244,1124828786,274242964,391338113
2020-12-24,20559034245,3456806893,754121240,1122542253,267459002,362083165
2020-12-25,20588104978,3560032068,769961427,1118199010,272696919,344588274
2020-12-26,20750908442,3556134257,810686031,1119210792,269747249,338702126
2020-12-27,20763290845,3567381017,820502484,1129131575,271919830,335104192
2020-12-28,20803077157,3622545892,814857608,1108801925,269288613,334267220
2020-12-29,20856035046,3681723725,812787517,1133629308,266746725,316911516
2020-12-30,20873380060,3731970718,794654882,1139324984,274151804,307828778
2020-12-31,20920738589,3705248342,896364256,1157751638,272668557,302613750
2021-01-01,20934027063,3925840105,986373630,1168798537,281530656,335837280
2021-01-02,21123644615,4123724902,1075980154,1206386946,286786285,346633851
2021-01-03,21202977967,4128120369,1142756600,1184381402,284512268,357721029
2021-01-04,21350523809,4227905606,1172807823,1237248731,286476503,384885989
2021-01-05,21808226475,4254328707,1053804012,1313564234,294776960,358667072
2021-01-06,21938753509,4372477495,1071861902,1320464128,302377862,380610659
2021-01-07,22300090404,4383223920,1104351827,1313903814,304272398,408912352
2021-01-08,22825440973,4487166195,1096248499,1363763940,302874514,476238141
2021-01-09,23523147664,4569415837,1103820739,1391136962,300312288,469650135
2021-01-10,23789558137,4756435704,1154920715,1414793450,307769393,490993780
2021-01-11,24279872325,4823053785,1164493485,1430017174,314714424,496481134
2021-01-12,24476886630,4827132057,1063504275,1373642116,305725313,465849937
2021-01-13,24294673601,4783652038,1063192021,1368345717,301902223,440601774
2021-01-14,24337321170,4762603311,1073761958,1368857292,300112298,439971799
2021-01-15,24213693581,4828960535,1085089913,1408197772,379949504,450426616
2021-01-16,24266793529,4876847233,1151568140,1291623497,378432372,432582239
2021-01-17,24315907744,5042504750,1139267261,1369636167,378463840,464201129
2021-01-18,24325253500,5073254051,1161651337,1383583488,415361589,467234047
2021-01-19,24361784336,5130649762,1151173897,1404435449,416525501,480046526
2021-01-20,24298711593,5144419416,1143738716,1403869964,409965487,525767414
2021-01-21,24773996063,5295657476,1125967957,1408636839,418870822,539787721
2021-01-22,25008394353,5371877613,1104357405,1412074525,413099822,512755227
2021-01-23,24801327623,5517506426,1185353886,1443167176,412757355,548231600
2021-01-24,24747246254,5594771753,1185327711,1462161634,414523679,572703540
